Question,Answer A,Answer B,Answer C,Answer D,Answer E
"Se 0,3 moli di CO2 occupano un volume pari a 6,72 litri, che volume occupa lo stesso numero di moli di NO nelle stesse condizioni di temperatura e pressione?",6.720 mL,"67,20 cL","0,3 L",2.240 mL,"2,24 L"
"In caso di neutralizzazione completa tra un acido e una base, in soluzione acquosa, si ha sempre che:",un numero di moli di ioni H+ si combina con un numero equivalente di moli di ioni OH–,rimane una certa quantità di acido e di base che non hanno reagito,"la massa, espressa in grammi, della base risulta equivalente alla massa, espressa in grammi, dell'acido","il pH finale della soluzione è 5,5",tutta l'acqua presente viene dissociata in ioni H+ e OH–
"Si consideri una soluzione acquosa di Al(HCO3)3 0,4 M. Quante moli di atomi di carbonio sono contenute in 700 ml di tale soluzione a causa della presenza di Al(HCO3)3?",0.84,0.28,0.56,1.2,0.4
"Quale tra i seguenti elementi completa correttamente il gruppo 18 della tavola periodica degli elementi?
",Elemento 2,Elemento 1,Elemento 3,Elemento 4,Elemento 5
Indicare il metallo di transizione:,Cr,Al,Ca,B,nessuna delle altre alternative è corretta
La mole è l'unità di misura:,della quantità di materia nel Sistema Internazionale (SI),del volume molecolare,del volume di materia,delle molecole,del peso di sostanza
La concentrazione di una soluzione espressa per mezzo del numero di moli di soluto presenti in un litro di soluzione è chiamata:,molarità,molalità,normalità,composizione percentuale massa/volume,frazione molare
La solubilità di un soluto gassoso in un solvente liquido:,diminuisce all’aumentare della temperatura in quanto il processo di dissoluzione è esotermico,diminuisce all’aumentare della pressione,non è misurabile in quanto non avviene il processo di dissoluzione,è misurabile solo quando il gas può formare legami a idrogeno con le molecole d’acqua,nessuna delle altre alternative è corretta
La struttura di un acido grasso contiene:,catene idrocarburiche,lunghe catene di aminoacidi,esosi e pentosi,trigliceridi,nessuna delle altre risposte è corretta
"Il suffisso -ico della terminologia comune degli ossidi, indica l'ossido:",a maggior contenuto di ossigeno,in cui il metallo ha numero di ossidazione +3,a minor contenuto di ossigeno,in cui il metallo è legato all'ossigeno con legame ionico,in cui il metallo ha un numero di ossidazioni negativo
Indicare la proprietà che NON rientra tra le proprietà periodiche degli elementi.,Densità,Energia di ionizzazione,Affinità elettronica,Elettronegatività,Raggio atomico
Gli isotopi sono composti da nuclei contenenti:,lo stesso numero di protoni ma numeri diversi di neutroni,lo stesso numero di neutroni ma numeri diversi di protoni,lo stesso numero di protoni e neutroni,un numero uguale di protoni e neutroni,differenti numeri di protoni e neutroni
La molalità rappresenta:,le moli di soluto in 1.000 g di solvente,le moli di soluto in un litro di soluzione,le moli di soluto in 1.000 g di soluzione,le moli di soluto in 100 moli di solvente,le moli di soluto in un litro di solvente
Se due soluzioni acquose hanno la stessa pressione osmotica:,hanno sicuramente la stessa temperatura di ebollizione,contengono lo stesso soluto,hanno sicuramente tensione di vapore diversa,non è possibile dire se la loro temperatura di congelamento sarà la stessa,contengono un soluto che si dissocia nello stesso numero di ioni
Quale tra le seguenti caratteristiche è propria dei trigliceridi?,Sono molecole anfipatiche,Hanno un gruppo fosfato legato al glicerolo,Possiedono uno scheletro carbonioso a quattro anelli,Sono sintetizzati a partire dall'isoprene,Polimerizzano per formare la cellulosa
"La desinenza ""one"", secondo le regole internazionali di nomenclatura, spetta:",ai chetoni,ai sali di acidi a lunga catena,agli alcoli,agli esteri,alle ammidi
"Sostituire le parole corrette alla frase: ""Gli alcheni sono ... che hanno almeno 2 carboni vicinali ibridizzati ..."".",idrocarburi; sp2,acili; sp3,idrocarburi; sp,carbonili; sp2,carbonili; sp3
"Nella tavola periodica, le righe prendono il nome di:",periodi,gruppi,sottogruppi,livelli,configurazioni
Nella reazione I2 + 2Fe2+→ 2I–+ 2Fe3+:,I2 si riduce e Fe2+ si ossida,I2 si ossida e Fe2+ si riduce,I2 è il riducente,Fe2+ è l'ossidante,lo ione iodato si riduce
I metalli alcalino terrosi:,si trovano nel gruppo 2 della tavola periodica,hanno tre elettroni di valenza,sono difficilmente ossidabili,sono cattivi conduttori di calore ed elettricità,sono liquidi a temperatura ambiente
"Il pH di una soluzione 0,1 M di NaOH è:",13,1,7,5,nessuna delle altre alternative è corretta
Una soluzione acquosa di cloruro di sodio si può definire come:,una miscela omogenea,un composto,una sostanza pura,un elemento,una miscela eterogenea
Lo stato di un elettrone in un atomo è univocamente determinato dai valori dei suoi quattro numeri quantici. Quale dei seguenti gruppi di quattro numeri quantici relativi a un elettrone di un atomo contiene un errore?,n=2 l=2 m=0 ms=1/2,n=3 l=2 m=–1 ms=1/2,n=1 l=0 m=0 ms=–1/2,n=3 l=1 m=0 ms=–1/2,n=4 l=2 m=–1 ms=1/2
"Una sostanza, in una reazione di ossidoriduzione, si ossida quando:",cede elettroni,ossida un'altra specie,acquista elettroni,accetta un protone,cede un protone
La cellulosa è:,un polisaccaride complesso costituito da glucosio,un polisaccaride complesso costituito da glucosio e lattosio,una fibra del tessuto connettivo,un componente dell'osso,un polimero di glucosio tipico delle cellule animali
Sciogliendo in acqua NH4ClO4 si ottiene una soluzione:,acida,basica,neutra,"di cui non è possibile stabilire il pH, nemmeno conoscendo la concentrazione di NH4ClO4",tampone
"Quanti grammi di (NH4)2SO4 occorrono per preparare 700 ml di soluzione acquosa 0,05M? (Peso atomico di N = 14; peso atomico di S = 32).",4.62,132,0.035,0.05,4.32
La metà della distanza minima tra i nuclei di due atomi della stessa specie è detta:,raggio atomico,raggio ionico,elettronegatività,energia di ionizzazione,affinità elettronica
Per triplo legame si intende:,un legame derivante dalla compartecipazione di tre coppie di elettroni,un legame fra tre ioni,un legame fra tre atomi,un legame fra tre molecole,nessuna delle altre alternative è corretta
"A un litro di soluzione acquosa di HNO3 0,1M viene aggiunto un litro di soluzione acquosa di HNO3 0,01M. Qual è il pH della soluzione ottenuta?",1.3,0.1,2.5,3.1,6.9
Indicare la formula dell'acido perossimonosolforico:,H2SO5,H2SO4,H2SO3,H2S,H2S2O7
Quale delle seguenti soluzioni acquose ha la temperatura di congelamento più bassa?,Mg(ClO4)2 0.2 m,KNO3 0.2 m,NaCl 0.2 m,Glucosio 0.5 m,MgCl2 0.15 m
La proporzione con cui i reagenti reagiscono fra di loro per formare i prodotti in una equazione chimica:,è indicata dai coefficienti stechiometrici,è indicata dal numero di atomi dei reagenti e prodotti,non è indicata nell'equazione di reazione,è indicata dal numero di atomi,è indicata dal numero di ossidazione dei reagenti e dei prodotti
Il sodio:,appartiene al primo gruppo della tavola periodica ed è un metallo alcalino,appartiene al secondo gruppo della tavola periodica ed è un metallo alcalino- terroso,è un elemento di transizione,appartiene al diciottesimo gruppo della tavola periodica ed è un gas nobile,è un non metallo
In una mole di un composto molecolare sono contenute:,un numero di Avogadro di molecole,un numero indefinito di molecole,"6,023 · 1021molecole","35,5 · 1020molecole",nessuna delle altre alternative è corretta
"Separare gli ossidi acidi dagli ossidi basici tra i seguenti composti: a) BaO,
b) BeO, c) CsO, d) As2O5, e) SeO2.","Ossidi acidi: d, e; ossidi basici: a, b, c","Ossidi acidi: d, e, b; ossidi basici: a, c","Ossidi acidi: e; ossidi basici: a, b, c, d","Ossidi acidi: a, b, c; ossidi basici: d, e","Ossidi acidi: c, d, e; ossidi basici: a, b"
Il pH di una soluzione che contiene 10–3 moli di HCl in 100 ml è:,2,1,3,4,10
Il composto NaH prende il nome di:,idruro di sodio,idrossico di sodio,ossido di sodio,anidride di sodio,acido sodico
Quale fra questi elementi è sempre presente nei composti organici?,C,N,Cl,Ni,O
"Secondo la teoria acido-base di Brønsted e Lowry, la base coniugata dell'acido nitrico è:",NO-3,HCO-3,SO-3,NO-2,nessuna delle altre alternative è corretta
L'amido è:,un polisaccaride,un grasso,un monosaccaride,un polipeptide,nessuna delle altre alternative è corretta
"Nella chimica inorganica, un'anidride è un composto:","binario, costituito da ossigeno e da un non-metallo","binario, costituito da ossigeno e da un metallo con un basso numero di ossidazione","binario, costituito da un metallo e da un non-metallo","binario, costituito da idrogeno e da un metallo","ternario, costituito da idrogeno, ossigeno e un metallo"
"Indicare la massa in grammi di un volume di 11,2 litri di CH4 in condizioni standard.",8g,4g,10 g,11 g,Nessuna delle altre risposte è corretta
Una reazione chimica comporta sempre la trasformazione:,di una o più specie chimiche in altre,di un atomo in un altro,di un nucleo in un altro,che coinvolge perdita di elettroni,nessuna delle altre alternative è corretta
Il tricloruro di azoto ha struttura:,piramidale trigonale,lineare,tetraedrica,ottaedrica,planare quadrata
"Poiché un anione bivalente di zolfo ha 18 elettroni, si può affermare che lo zolfo:",ha Z = 16,appartiene allo stesso gruppo dell'azoto,ha A = 18,ha massa atomica pari a 20 u,ha Z = 20
"Il nucleo del Trizio (T o 3H), l'isotopo dell'idrogeno avente peso atomico 3 u.m.a., contiene:",1 protone e 2 neutroni,2 protoni e un neutrone,3 protoni,3 neutroni,"1 protone, 1 neutrone e 1 elettrone"
L'urea è:,una diammide,una proteina,una diammina,un chetone,un amminoacido
Il legame peptidico è presente:,nelle proteine,nei polisaccaridi,nei carboidrati,nei trigliceridi,negli acidi nucleici
La struttura atomica prevede che:,la massa dell'atomo sia concentrata nel nucleo,elettroni e protoni siano omogeneamente distribuiti nell'atomo,protoni ed elettroni si trovino nel nucleo e i neutroni si trovino nello spazio intorno al nucleo,neutroni ed elettroni si trovino nel nucleo e i protoni si trovino nello spazio intorno al nucleo,la massa dell'atomo sia concentrata nello spazio intorno al nucleo
Quale dei seguenti composti della chimica organica ha la maggiore massa molare?,Acido 2-idrossietanoico,Butan-1-olo,Butanale,Butan-2-one,Etanoato di metile
La cellulosa è:,"un polisaccaride complesso, polimero del glucosio",un polisaccaride complesso polimero di glucosio e lattosio,"una molecola polimera del glucosio, che si trova nella membrana delle cellule animali",un polisaccaride complesso polimero del ribosio,una macromolecola componente le cartilagini
Un acido di Brønsted-Lowry è una specie chimica:,in grado di donare ioni H+,aggressiva,in grado di cedere elettroni,in grado di donare elettroni,che reagisce in acqua
In KCl il cloro è legato al potassio attraverso un legame:,ionico,covalente puro,covalente polare,metallico,dipolo-dipolo
Quale dei seguenti elementi NON si presenta allo stato elementare come molecola biatomica?,Elio,Ossigeno,Azoto,Idrogeno,Cloro
Una bombola contiene 15 L di gas metano. Se ne prelevano 3 litri: qual è il volume del gas residuo?,15 L,12 L,5 L,14 L,13 L
Si definiscono isomeri i composti diversi che:,presentano la stessa formula molecolare,presentano le stesse proprietà chimiche,appartengono alla stessa classe di composti organici,differiscono solo per la presenza di legami multipli,differiscono solo per la presenza di isotopi
"Quante moli di LiOH sono contenute in 6,0 litri di soluzione acquosa di LiOH con pH = 8?","6,0 x 10-6","1,0 x 10-12","6,0 x 10-8",1e-06,Non si può dire in quanto LiOH non è una base forte
Calcolare la molarità di una soluzione ottenuta sciogliendo 8 g di NaOH (40 g/mol) in 150 mL di acqua.,"1,33 M",2 M,"0,13 M","0,6 M","0,26 M"
"Tra i seguenti legami, qual è il più lungo?",Il legame semplice tra due atomi di C,Il legame doppio tra due atomi di C,Il legame triplo tra due atomi di C,Il legame doppio tra un atomo di C e uno di O,Il legame triplo tra due atomi di azoto
Gli orbitali ibridi sp3 formano angoli di:,"109,5°",120°,180°,nessuna delle altre alternative è corretta,90°
La temperatura di ebollizione dell'acqua a 2.500 m di altitudine rispetto a quella del livello del mare:,è minore,resta invariata,è il doppio,è la metà,è maggiore
Gli alcani presentano:,nessun legame multiplo tra atomi di carbonio,almeno un legame triplo tra due atomi di carbonio,almeno un legame doppio tra due atomi di carbonio,un sistema elettronico π delocalizzato,almeno un legame doppio tra atomi di carbonio e un anello planare stabilizzato da legami π
Il legame ionico è:,un legame di natura elettrostatica,un legame covalente eteropolare,un legame tra due atomi uguali,un debole legame di interazione elettrostatica tra molecole di solvente e soluto,un legame tra due molecole in soluzione non acquosa
Qual è la configurazione elettronica del catione Na+ e dell'atomo di Ar? (Si tenga conto che entrambi gli elementi appartengono al periodo 3).,1s2 2s2 2p6 e 1s2 2s2 2p6 3s2 3p6 rispettivamente,1s2 2s2 2p6 3s2 3p6e 1s2 2s2 2p1 3s2 3p6 3d10 rispettivamente,1s2 2s2 2p6 e 1s2 2s2 2p6 3s2 3p6 3d10 rispettivamente,1s2 2s2 2p6 per entrambi,1s2 2s1 e 1s2 2s2 2p1 rispettivamente
"Tra le tante funzioni svolte dalle proteine, le più importanti sono:",enzimatiche e strutturali,accumulare e cedere energia,scheletriche,mantenere costante la temperatura corporea,nessuna delle altre alternative è corretta
Quale tra le seguenti affermazioni relative ai metalli è corretta?,Possiedono una bassa elettronegatività,Nella tavola periodica sono meno numerosi dei non metalli,A temperatura ambiente sono tutti solidi,Sono localizzati esclusivamente nella parte destra della tavola periodica,Possiedono un'alta affinità elettronica
Quale tra i seguenti atomi ha il raggio più grande?,Cs,K,Na,Li,O
"In 250 millilitri di una soluzione 0,30 M (molare) di un composto sono contenute:","0,075 moli","1,2 moli","0,15 moli","0,3 moli","0,6 moli"
Quale dei seguenti composti si prevede sia insolubile in acqua?,FeS,NaBr,NH4Cl,(NH4)2S,K2CO3
A quante moli corrispondono 31 g di H2CO3?,0.5,2,5,0.2,10
In quale dei seguenti composti il carbonio presenta il numero di ossidazione più basso?,C2H4,CaCO3,HCHO,Mg(HCO3)2,CO2
"Sapendo che il numero di massa di un atomo è 15 e che il suo numero atomico è 7, ne segue che il numero di neutroni contenuti nel sopradescritto atomo è:",8,15,7,14,22
"Si definisce ""racemo"":",una miscela in parti uguali di due enantiomeri,una miscela in parti uguali di due diasteroisomeri,un composto otticamente attivo,un composto con due centri chirali equivalenti,una qualsiasi miscela di due enantiomeri
La massa di 2 moli di H3AsO4 è pari a 284 g. Qual è il peso atomico relativo di un atomo di arsenico?,75 u,76 g,288 u,221 u,"82,5 u"
La reazione con acido iodidrico di una molecola di C3H8O dà come unici prodotti una molecola di CH3I e ad una molecola di CH3CH2OH. Sulla base di queste informazioni a quale classe di composti della chimica organica deve appartenere C3H8O?,Eteri asimmetrici o misti,Chetoni,Anidridi,Eteri semplici o simmetrici,Esteri
